0️⃣	клавіша: 0	0|клавіша|нуль
☕	гарячий напій	гарячий|кава|кафе|кофеїн|напій|паруючий|пити|сніданок|чай
☘️	трилисник	ірландський|конюшина|листя|рослина|трилисник
☝️	вказівний палець, що вказує вгору	вгору|вказівний|зауважте|палець|рука|увага|угору|указувати|хвилинку|цей
☠️	череп і кістки	кістки|монстр|обличчя|перехрещені|пірати|скелет|смерть|тіло|череп
☢️	радіаційна небезпека	знак|опромінення|радіаційна небезпека|радіоактивний|радіоактивні матеріали|радіоактивність
☣️	біологічна загроза	біологічна загроза|біологічна небезпека|знак
☦️	православний хрест	правовірний|православний|релігія|хрест|християнин|Християнство
☪️	зірка і півмісяць	зірка і півмісяць|іслам|мусульманин|релігія
☮️	символ миру	мир|символ миру
☯️	інь-ян	дао|даосизм|інь|інь-ян|релігія|янь
☸️	колесо дхарми	буддист|дхарма|колесо|колесо дхарми|релігія
☹️	похмуре обличчя	злий|незадоволений|обличчя|похмуре обличчя|розчарований|сумний
☺️	усміхнене обличчя	задоволений|обличчя|посмішка|спокійний|усмішка
♀️	символ жінки	жінка|жіноча стать|знак жінки|символ жінки
♂️	символ чоловіка	знак чоловіка|символ чоловіка|чоловік|чоловіча стать
♈	Овен	баран|гороскоп|знак зодіаку|зодіак|овен|Овен
♉	Телець	бик|віл|гороскоп|знак зодіаку телець|зодіак|телець|Телець
♊	Близнюки	близнюки|Близнюки|гороскоп|зодіак
♋	Рак	гороскоп|знак зодіаку|зодіак|краб|рак|Рак
♌	Лев (знак зодіаку)	гороскоп|зодіак|лев|Лев|Лев (знак зодіаку)
♍	Діва	гороскоп|діва|Діва|зодіак
♎	Терези	гороскоп|знак зодіаку терези|зодіак|рівновага|справедливість|терези|Терези
♏	Скорпіон (знак зодіаку)	гороскоп|знак зодіаку скорпіон|зодіак|скорпіон|Скорпіон (знак зодіаку)
♐	Стрілець	гороскоп|зодіак|стрілець|Стрілець
♑	Козоріг	гороскоп|знак зодіаку|зодіак|коза|козеріг|Козеріг|Козоріг
♒	Водолій	вода|водолій|Водолій|гороскоп|знак зодіаку водолій|зодіак|носій
♓	Риби	гороскоп|знак зодіаку|зодіак|риба|риби|Риби
♟️	пішак	пішак|пішка|фігура|шахи|шахмати
♠️	піка	азарт|гра|карта|карти|масть|піка|пікова дама
♣️	трефа	гра|карта|масть|трефа|трефи
♥️	чирва	гра|карта|масть|чирва|чирви
♦️	бубна	бубна|бубни|гра|карта|масть
♨️	гарячі джерела	гарячий|гарячі джерела|джерело|паруючі
♻️	символ утилізації	переробка|символ утилізації|утилізація
♾️	нескінченність	безкінечність|горизонтальна вісімка|нескінченність|універсальність
♿	символ крісла-візка	доступність|інвалідне крісло|символ візка|символ крісла-візка
⚒️	молоток і кирка	інструмент|кирка|молоток|молоток і кирка
⚓	якір	знаряддя|корабель|якір
⚔️	схрещені мечі	зброя|мечі|перехрещений|схрещені мечі
⚕️	символ медицини	ескулап|медицина|медичний символ|персонал|символ медицини
⚖️	ваги	вага|ваги|знаряддя|зодіак|правосуддя|рівновага|справедливість|терези
⚗️	перегінний куб	дистилятор|знаряддя|перегінний куб|хімічна реакція|хімія
⚙️	шестірня	інструмент|налаштування|параметри|шестірня
⚛️	символ атома	атеїст|атом|символ атома
⚜️	геральдична лілія	геральдична лілія
⚠️	попередження	застереження|попередження|увага
⚡	висока напруга	блискавка|висока напруга|електрика|електричний|напруга|небезпека
⚧️	трансгендерний символ	трансгендер|трансгендерний символ
⚪	білий круг	біле|білий круг|геометричний|коло
⚫	чорний круг	геометричний|коло|чорне|чорний круг
⚰️	труна	вампір|похорон|смерть|труна
⚱️	урна для тліну	ваза|поховальна урна|похорон|смерть|урна|урна для тліну
⚽	футбольний м’яч	м’яч|спорт|ФІФА|футбол|футбольний м’яч|чемпіонат
⚾	бейсбольний м’яч	бейсбольний м’яч|м’яч|спорт
⛄	сніговик без снігу	cніговик|погода|сніг|сніговик|сніговик без снігу|холодний
⛅	сонце за хмарою	погода|сонце|сонце за хмарою|хмара|хмарно
⛈️	хмара з блискавкою та дощем	грім|дощ|погода|хмара|хмара з блискавкою та дощем
⛎	Змієносець	гороскоп|змієносець|Змієносець|змія|зодіак|носій
⛏️	кирка	інструмент|кирка|шахта
⛑️	каска рятувальника	допомога|захист|каска з білим хрестом|каска рятувальника|правила безпеки|робота|хрест|шапка|шолом
⛓️	ланцюги	ланцюг|ланцюги
⛓️‍💥	розірваний ланцюг	воля|ланки|розірваний ланцюг|розрив|розривання
⛔	вʼїзд заборонено	в’їзд заборонено|вʼїзд|заборонено|не в’їжджати|не дозволено|немає|рух
⛩️	синтоїстський храм	релігія|святиня|синтоїстський|синтоїстський храм
⛪	церква	будівля|релігія|хрест|християнський|церква
⛰️	гора	гора
⛱️	пляжна парасолька	дощ|парасолька|пляж|пляжна парасолька|погода|сонце
⛲	фонтан	фонтан
⛳	лунка для гольфу з прапорцем	гольф|гра|лунка|лунка для гольфу з прапорцем
⛴️	пором	пором|човен
⛵	вітрильник	відпочинок|вітрильник|море|плавання|транспорт|човен|яхта
⛷️	лижник	лижі|лижник|сніг|спорт
⛸️	ковзан	катання на ковзанах|ковзан|лід|спорт
⛹️	людина, що веде мʼяч	баскетбол|баскетболіст|вести мʼяч|гравець|людина|мʼяч|спортсмен|точний кидок
⛹️‍♀️	жінка, що веде мʼяч	баскетбол|жінка|жінка з м’ячем|жінка, що веде мʼяч|м’яч|спорт|що веде мʼяч
⛹️‍♂️	чоловік, що веде мʼяч	м’яч|чоловік|чоловік із м’ячем|чоловік, що веде мʼяч|що веде мʼяч
⛺	намет	намет|похід
⛽	бензоколонка	бензоколонка|заправка|насос|паливний насос|пальне
✂️	ножиці	вирізати|інструмент|ножиці|папір
✅	кнопка з галочкою	✓|виконано|галочка|готово|значок|кнопка|кнопка з галочкою|опція|позначка|прапорець
✈️	літак	літак|транспорт
✉️	конверт	електронний|емейл|конверт|лист|пошта
✊	піднятий кулак	кулак|піднятий кулак|рука|стиснутий|тіло
✋	піднята рука	дай пʼять|долоня|піднята рука|рука|стояти|тіло
✌️	жест перемоги	V|жест перемоги|перемога|рука|тіло
✍️	рука, що пише	писати|рука|рука, що пише|тіло|що пише
✏️	олівець	олівець
✒️	кінчик чорнильного пера	кінчик чорнильного пера|перо|перо старомодної чорнильної ручки|ручка|чорнила
✔️	галочка	✓|відмітка|галочка|готово|позначка
✖️	множення	×|знак|кратність|множення|помножити|скасувати|х
✝️	латинський хрест	католицький хрест|латинський хрест|релігія|хрест|християнин
✡️	зірка Давида	давид|єврей|єврейський|зірка|зірка Давида|Іудаїзм|релігія
✨	блискітки	блискітки|зірка|іскра|іскри|яскравий
✳️	восьмикутний астериск	*|астериск|восьмикутна зірка|восьмикутний астериск|зірочка|знак
✴️	восьмикінцева зірка	*|вісім виступів|восьмикінечна зірка|восьмикінцева зірка|зірка
❄️	сніжинка	погода|сніг|сніжинка|холод|холодний
❇️	блискітка	*|блискітка
❌	хрестик	×|значок|множення|позначка|помножити|скасувати|х|хрестик
❎	кнопка з хрестиком	×|значок|квадрат|кнопка з хрестиком|позначка|х
❓	червоний знак питання	?|знак питання|питання|пунктуація|розділовий знак|червоний знак питання
❔	білий знак питання	?|білий знак питання|знак питання|контурний|питання|пунктуація|розділовий знак
❕	білий знак оклику	!|білий знак оклику|знак оклику|контурний|оклик|пунктуація|розділовий знак
❗	червоний знак оклику	!|знак оклику|оклик|пунктуація|розділовий знак|червоний знак оклику
❣️	знак оклику у формі серця	жирний|знак|оклику|пунктуація|розділовий|серце|серця|стилізований|форма
❤️	червоне серце	емоція|кохання|любов|серце|червоне
❤️‍🔥	палке серце	жага|любов|опік|палке серце|священне серце|серце
❤️‍🩹	серце, що заживає	вже краще|здоровий|здоровіший|лікування|одужання|покращення|поправка|серце
➕	плюс	+|знак|математика|математичний|плюс
➖	мінус	-|−|знак|математика|математичний|мінус
➗	ділення	÷|ділення|знак|математика|математичний
➡️	стрілка вправо	напрям|праворуч|сторона|стрілка|стрілка вправо|східний
➰	закручена петля	закручена петля|закручений|петля
➿	подвійна закручена петля	закручений|петля|подвійна закручена петля|подвійний
⤴️	стрілка вправо з вигином угору	стрілка|стрілка вгору|стрілка вправо з вигином угору|стрілка праворуч із поворотом угору
⤵️	стрілка вправо з вигином униз	вниз|стрілка|стрілка вправо з вигином униз|стрілка праворуч із поворотом униз
⬅️	стрілка вліво	західний|напрям|сторона|стрілка вліво|стрілка ліворуч
⬆️	стрілка вгору	на північ|напрям|північ|сторона світу|стрілка|стрілка вгору
⬇️	стрілка вниз	напрям|південний|сторона|стрілка|стрілка вниз
⬛	великий чорний квадрат	великий чорний квадрат|геометричний|квадрат
⬜	великий білий квадрат	великий білий квадрат|геометричний|квадрат
⭐	зірка	зірка|середня біла зірка
⭕	порожнисте червоне коло	велике|коло|о|порожнисте червоне коло|червоне
〰️	хвилясте тире	пунктуація|тире|хвилясте тире|хвилястий
〽️	японський знак початку частини пісні	значок|частина|японський знак початку частини пісні
㊗️	кнопка "вітання" японською	вітання|ідеограма|ієрогліф|китайський|кнопка "вітання" японською|привітання|Японський
㊙️	кнопка "секрет" японською	ідеограма|ієрогліф|китайський|кнопка "секрет" японською|секрет|Японія
🀄	фішка маджонгу «червоний дракон»	гра|маджонг|фішка маджонг червоний дракон|фішка маджонгу «червоний дракон»|червоний
🃏	джокер	гра|грати|джокер|карта
🅰️	кнопка A (IІ група крові)	1|a|i|кнопка «група крові а»|кнопка A (IІ група крові)|кров|літера А
🅱️	кнопка B (III група крові)	2|b|ii|група крові|кнопка «група крові b»|кнопка B (III група крові)|кров
🅾️	кнопка O (І група крові)	4|iv|o|група крові|група крові 0|група крові O|кнопка «група крові 0»|кнопка «група крові o»|кнопка «І група крові»|кнопка O (І група крові)|кров
🅿️	кнопка «паркування»	кнопка «паркування»|паркування
🆎	кнопка AB (IV група крові)	3|ab|iii|група крові|група крові AB|кнопка «група крові ab»|кнопка AB (IV група крові)|кров|четверта група крові
🆑	кнопка «очистити»	квадрат «очистити текст»|клавіша "очистити текст"|кнопка «очистити»|очистити текст
🆒	кнопка «COOL»	квадрат «круто»|кнопка «COOL»|круто
🆓	кнопка «FREE»	FREE|безкоштовно|безплатно|квадрат «безкоштовно»|кнопка «FREE»
🆔	кнопка "ID"	ідентифікатор|ідентифікація|квадрат «ідентифікатор»|кнопка "ID"|кнопка ідентифікації|особистість
🆕	кнопка "NEW"	квадрат «новий»|кнопка "NEW"|новий
🆖	кнопка "NG"	абсолютно ні|квадрат «негативно»|кнопка "NG"|негативно
🆗	кнопка «ОК»	OK|ОК|окей
🆘	кнопка "SOS"	sos|допомога|квадрат «sos»|кнопка "SOS"
🆙	кнопка "UP!"	вгору|значок|кнопка "UP!"|кнопка «вгору!»
🆚	кнопка "VS"	квадрат «проти»|кнопка "VS"|проти
🈁	кнопка "тут" японською	ієрогліф|квадрат з ідеограмою «тут»|кнопка "тут" японською|японський
🈂️	кнопка "сервісний збір" японською	ієрогліф|квадрат з ідеограмою «сервіс»|кнопка "сервісний збір" японською|японський
🈚	кнопка "безкоштовно" японською	ієрогліф|квадрат з ідеограмою «заперечення»|кнопка "безкоштовно" японською|японський
🈯	кнопка "зарезервовано" японською	ієрогліф|кнопка "зарезервовано" японською|японський
🈲	кнопка "заборонено" японською	ієрогліф|квадрат з ідеограмою «заборонено»|кнопка "заборонено" японською|японський
🈳	кнопка "вільно" японською	ідеограма|ієрогліф|китайський|кнопка "вільно" японською|пустота|японський
🈴	кнопка "достатня оцінка" японською	ієрогліф|китайський|кнопка "достатня оцінка" японською|Японія|Японський
🈵	кнопка "місць немає" японською	квадрат з ідеограмою «заповненість»|китайський|кнопка "місць немає" японською|японський ієрогліф
🈶	кнопка "не безкоштовно" японською	ієрогліф|квадрат з ідеограмою «існує»|кнопка "не безкоштовно" японською|японський
🈷️	кнопка "щомісяця" японською	ієрогліф|квадрат з ідеограмою «місяць»|кнопка "щомісяця" японською|японський
🈸	кнопка "заявка" японською	ієрогліф|квадрат з ідеограмою «подати заявку»|китайський|кнопка "заявка" японською
🈹	кнопка "знижка" японською	ієрогліф|квадрат з ідеограмою «поділити»|кнопка "знижка" японською|японський
🈺	кнопка "робота" японською	ієрогліф|квадрат з ідеограмою «робота»|китайський|кнопка "робота" японською
🉐	кнопка "угода" японською	ієрогліф|кнопка "угода" японською|Японія|японський
🉑	кнопка "прийнятно" японською	ієрогліф|китайський|кнопка "прийнятно" японською|коло з ідеограмою «прийняти»
🌀	циклон	запаморочення|погода|смерч|спіраль|тайфун|циклон
🌁	туманно	верхівка|гора|погода|топ|туман|туманно
🌂	складена парасолька	дощ|одяг|парасолька|погода|складена парасолька
🌃	зоряна ніч	зірка|зоряна ніч|ніч|погода
🌄	схід сонця над горами	гора|погода|ранок|сонце|схід|схід сонця над горами
🌅	схід сонця	погода|ранок|світанок|сонце|схід сонця
🌆	місто в сутінках	будівля|вечір|захід|ландшафт|місто|місто в сутінках|сутінки
🌇	захід сонця	будівля|захід сонця|місто|сонце|сутінки
🌈	веселка	бісексуал|гей|гендер|глбт|дощ|квір|лгбт|лесбіянка|погода|природа|транс
🌉	міст уночі	golden gate|міст|міст уночі|ніч|погода
🌊	хвиля	вода|океан|погода|хвиля
🌋	вулкан	виверження|вулкан|гора|лава
🌌	Чумацький шлях	космос|погода|чумацький шлях|Чумацький шлях
🌍	глобус, що показує Європу й Африку	африка|Африка|глобус|глобус, що показує Європу й Африку|європа|Європа|земля|світ|що показує Європу й Африку
🌎	глобус, що показує Америки	Америка|глобус|глобус, що показує Америки|Західна півкуля|земля|планета|світ|що показує Америки
🌏	глобус, що показує Азію і Австралію	австралія|Австралія|азія|Азія|глобус|глобус, що показує Азію і Австралію|земля|світ|що показує Азію і Австралію
🌐	земна куля з меридіанами	глобус|глобус із меридіанами|земля|земна куля з меридіанами|меридіани|світ
🌑	молодий місяць	космос|місяць|молодий|погода|темний
🌒	місяць у першій чверті	зростаючий|космос|місяць|місяць у першій чверті|молодий півмісяць|півмісяць|погода
🌓	перша чверть місяця	космос|луна|місяць|місяць у першій чверті|перша чверть місяця|погода|чверть
🌔	місяць у другій чверті	зростаючий|космос|місяць|місяць у другій чверті|погода|серпоподібний
🌕	повний місяць	космос|місяць|повний|погода
🌖	місяць у третій чверті	космос|місяць|місяць у третій чверті|погода|серпоподібний|спадаючий
🌗	остання чверть місяця	затемнення|космос|місяць|місяць в останній чверті|небо|остання чверть місяця|планета|погода|супутник|чверть
🌘	місяць у четвертій чверті	космос|місяць|місяць у четвертій чверті|півмісяць|погода|спадаючий|старий місяць
🌙	серп місяця	космос|місяць|півмісяць|погода|серп місяця
🌚	молодий місяць з обличчям	космос|місяць|молодий місяць з обличчям|обличчя|погода
🌛	перша чверть місяця з обличчям	космос|місяць|обличчя|перша чверть місяця з обличчям|погода|чверть
🌜	остання чверть місяця з обличчям	космос|місяць|обличчя|остання чверть місяця з обличчям|погода|чверть
🌝	повний місяць з обличчям	місяць|обличчя|повний|повний місяць з обличчям|яскравий
🌞	сонце з обличчям	весна|космос|літо|обличчя|погода|сонце|сонце з обличчям|яскравий
🌟	сяйна зірка	блискучий|зірка|іскра|світиться|світло|сяє|сяйна зірка
🌠	метеор	зірка|космос|метеор|небо|падає
🌡️	термометр	погода|температура|термометр
🌤️	сонце за хмаркою	незначна хмарність|погода|сонце|сонце за хмаркою|хмара
🌥️	сонце за хмариною	погода|сонце|сонце за хмариною|сонце за хмарою|хмара
🌦️	сонце за дощовою хмарою	дощ|погода|сонце|сонце за дощовою хмарою|хмара
🌧️	хмара з дощем	дощ|погода|хмара|хмара з дощем
🌨️	хмара зі снігом	погода|сніг|хмара|хмара зі снігом|холодний|холодно
🌩️	хмара з блискавкою	блискавка|погода|хмара|хмара з блискавкою
🌪️	торнадо	погода|торнадо|ураган|хмара
🌫️	туман	погода|туман|хмара
🌬️	обличчя, що дме	вітер|віяти|обличчя|обличчя, що дме|погода|хмара|що дме
🌭	хот-дог	їжа|сосиска|сосиска в тісті|хот-дог
🌮	тако	їжа|мексика|Мексика|мексиканська їжа|мексиканська кухня|тако|такос
🌯	буріто	буріто|їжа|мексика|Мексика
🌰	каштан	горіх|каштан|рослина
🌱	сіянець	листя|паросток|рослина|саджанець|сіянець
🌲	вічнозелене дерево	вічнозелена рослина|вічнозелене дерево|дерево|рослина|сосна|ялинка
🌳	листяне дерево	дерево|листяне дерево|листяний|опадає|рослина
🌴	пальма	дерево|пальма|рослина|тропіки
🌵	кактус	кактус|пустеля|рослина
🌶️	гострий перець	гострий|перець|приправа|чилі
🌷	тюльпан	квітка|рожевий тюльпан|рослина|тюльпан
🌸	вишневий цвіт	вишневий цвіт|вишня|квітка|рослина|цвіт|цвіт вишні
🌹	троянда	квітка|рослина|троянда|червона троянда
🌺	гібіскус	гібіскус|квітка|рослина
🌻	соняшник	квітка|рослина|сонце|сонях|соняшник
🌼	жовта квітка	жовта квітка|квітка|ромашка|рослина
🌽	качан кукурудзи	їжа|качан|качан кукурудзи|кукурудза|маїс
🌾	сніпок рису	колос|колосся рису|пшениця|рис|рисовий колосок|рослина|сніпок рису
🌿	лікарська рослина	листок|листя|лікарська рослина|рослина
🍀	чотирилисткова конюшина	4|конюшина|листок|листя|рослина|фортуна|чотири|чотирилиста конюшина|чотирилисткова конюшина|щастить
🍁	кленовий листок	дерево|клен|кленовий листок|листок|листя|опадати|осінь|рослина
🍂	опале листя	листок|листопад|листя|опадати|опале листя|опалий листок|осінь|рослина
🍃	листя, що кружляє за вітром	вітер|дути|кружляти|листок|листя|листя, що кружляє за вітром|рослина|що кружляє за вітром
🍄	гриб	гриб|гриб із шапинкою|мухомор|плодове тіло
🍄‍🟫	коричневий гриб	вегетаріанська їжа|вегетаріанський|гарнір|гриби|їжа|коричневий гриб|печериця|трюфель|шампіньйон|шиїтаке
🍅	томат	овоч|плід|помідор|сеньйор помідор|томат|червоний помідор
🍆	баклажан	баклажан|їжа|овоч
🍇	виноград	виноград|виноградина|виноградини|їжа|плід|ягоди
🍈	диня	диня|їжа|плід|фрукт
🍉	кавун	їжа|кавун|літо|плід
🍊	танжерин	їжа|мандарин|оранжевий|плід|помаранч|танжерин|фрукт
🍋	лимон	жовтий лимон|лимон|плід|цитрус
🍋‍🟩	лайм	зелений|кислинка|коктейль|лайм|лаймовий пиріг|мохіто|сальса|цитрусовий
🍌	банан	банан|їжа|плід|фрукт
🍍	ананас	ананас|їжа|плід|фрукт
🍎	червоне яблуко	їжа|плід|фрукт|червоне яблуко|червоний|яблуко
🍏	зелене яблуко	епл|зелене яблуко|зелений|їжа|плід|фрукт|яблуко
🍐	груша	груша|їжа|плід|фрукт
🍑	персик	абрикос|їжа|персик|плід|фрукт
🍒	вишні	вишні|вишня|їжа|плоди|червоні|черешня|ягоди
🍓	полуниця	їжа|плід|полуниця|ягода
🍔	гамбургер	бургер|гамбургер|їжа|чизбургер
🍕	піца	їжа|піца|сир|шматок
🍖	м’ясо на кістці	їжа|кістка|м’ясо|м’ясо на кістці
🍗	ніжка свійської птиці	їжа|кістка|курка|ніжка|ніжка свійської птиці|птиця|ципля "гриль"
🍘	рисовий крекер	їжа|крекер|рис|рисовий крекер
🍙	рисова кулька	їжа|кулька|рис|рисова кулька|японський
🍚	приготований рис	варений|їжа|приготований рис|рис
🍛	рис із карі	їжа|карі|рис|рис із карі|рисовий суп
🍜	миска, з якої піднімається пара	з якої піднімається пара|їжа|локшина|миска|миска, з якої піднімається пара|парувати|рамен|суп
🍝	спагеті	їжа|італійська кухня|паста|спагеті
🍞	хліб	буханець|їжа|паляниця|хліб|хлібина
🍟	картопля фрі	картопля|фрі
🍠	печений батат	батат|їжа|овоч|печений батат|печений топінамбур|смажити
🍡	рисові кульки на шпажці	данго|десерт|рисові кульки на шпажці|солодкий|шампур|японський
🍢	оден	їжа|кебаб|морський|оден|шампур
🍣	суші	їжа|суші
🍤	смажена креветка	їжа|креветка|смажена креветка|смажений|темпура
🍥	рибний рулет зі спіральним візерунком	випічка|рибний|рибний рулет зі спіральним візерунком|рулет
🍦	морозиво в ріжку	десерт|м’яке морозиво|м’який|морозиво|морозиво в ріжку|пломбир|солодкий
🍧	льодова стружка	десерт|лід|льодова стружка|морозиво|солодкий|стружка
🍨	морозиво	десерт|їжа|морозиво|солодкий
🍩	пончик	десерт|їжа|пончик|солодкий
🍪	печиво	десерт|печиво|солодкий|шоколадне печиво
🍫	плитка шоколаду	десерт|плитка|плитка шоколаду|солодкий|шоколад
🍬	цукерка	десерт|солодкий|цукерка
🍭	льодяник	десерт|льодяник|солодкий|цукерка
🍮	заварний крем	десерт|заварний крем|їжа|пудинг|солодкий
🍯	горщик із медом	горщик|горщик із медом|мед|солодкий
🍰	тістечко	випічка|десерт|солодкий|тістечко|торт|шматок
🍱	обід у коробці	бенто|їжа|набір суші|обід у коробці|суші|упаковка
🍲	горщик з їжею	горщик|горщик з їжею|їжа|овочевий суп|перше|рагу|суп|суп з локшиною
🍳	готування їжі	готування їжі|їжа|пательня|сковорода|смажити|сніданок|яєчня|яйце
🍴	виделка та ніж	вечеря|їжа|їсти|кулінарія|обід|ресторан|смакота|смачно|сніданок|столові прибори
🍵	чайна чашка без вушка	гарячий|зелений чай|їжа|крем-суп|напій|піала|суп|чай|чайна чашка без вушка|чашка
🍶	саке	бар|напій|пити|пляшка|саке|чашка
🍷	келих для вина	бар|вино|келих|келих для вина|напій|пити
🍸	бокал для коктейлю	бар|бокал|бокал для коктейлю|коктейль|мартіні|пити
🍹	тропічний напій	бар|коктейль|пити|тропічний|тропічний напій
🍺	кухоль із пивом	бар|будьмо!|кухоль|кухоль із пивом|пиво|пити
🍻	кухлі з пивом, що цокаються	алкоголь|бар|кухлі|напої|пиво|пиття|тости|цокання|цокатися
🍼	пляшечка для немовляти	годування|молоко|немовля|пити|пляшечка|пляшечка для немовляти
🍽️	виделка, ніж і тарілка	вечеря|виделка|виделка, ніж і тарілка|кулінарія|ніж|ніж і тарілка|обід|сніданок|тарілка
🍾	пляшка з корком, що вилітає	бар|вино|відкорковувати|ігристе|корок|пити|пляшка|стріляти|тиск|шампанське
🍿	попкорн	попкорн
🎀	бант зі стрічки	бант|бант зі стрічки|рожевий бант|святкування|стрічка
🎁	подарунок	дарунок|запакований|коробка|подарунок|святкування|сюрприз
🎂	торт на день народження	бажання|випічка|день|десерт|народження|свічки|святковий торт|святкування|солодкий|солодощі|торт|торт на день народження
