0️⃣	tecla: 0	0|cero|tecla
🈴	ideograma japonés para "aprobado"	aprobado|ideograma|ideograma japonés para "aprobado"|japonés|kanji
🈵	ideograma japonés para "completo"	completo|ideograma|ideograma japonés para "completo"|japonés|kanji|lleno
🈶	ideograma japonés para "de pago"	“de pago”|ideograma|ideograma japonés para "de pago"|japonés|kanji
🈷️	ideograma japonés para "cantidad mensual"	“cantidad mensual”|ideograma|ideograma japonés para "cantidad mensual"|japonés|kanji
🈸	ideograma japonés para "aplicación"	aplicación|ideograma|ideograma japonés para "aplicación"|japonés|kanji
🈹	ideograma japonés para "descuento"	descuento|ideograma|ideograma japonés para "descuento"|japonés|kanji
🈺	ideograma japonés para "abierto"	abierto|ideograma|ideograma japonés para "abierto"|japonés|kanji
🉐	ideograma japonés para "ganga"	ganga|ideograma|ideograma japonés para "ganga"|japonés|kanji
🉑	ideograma japonés para "aceptable"	aceptable|ideograma|ideograma japonés para "aceptable"|japonés|kanji
🌀	ciclón	ciclón|mareo|tifón|tornado
🌁	bruma	bruma|niebla
🌂	paraguas cerrado	accesorios|lluvia|paraguas|paraguas cerrado
🌃	noche estrellada	estrellas|noche|noche estrellada
🌄	amanecer sobre montañas	amanecer|amanecer sobre montañas|montaña|salida|sol
🌅	amanecer	amanecer|salida del sol
🌆	ciudad al atardecer	atardecer|ciudad|ciudad al atardecer|edificios|paisaje
🌇	puesta del sol	edificios|puesta del sol
🌈	arcoíris	arcoíris|colores|lluvia
🌉	puente de noche	noche|puente|puente de noche
🌊	ola de mar	mar|océano|ola|ola de mar
🌋	volcán	erupción|erupción volcánica|volcán
🌌	Vía Láctea	espacio|galaxia|láctea|vía
🌍	globo terráqueo mostrando Europa y África	África|Europa|globo terráqueo mostrando Europa y África|mundo|planeta|Tierra
🌎	globo terráqueo mostrando América	América|globo|globo terráqueo mostrando América|mundo|planeta|Tierra
🌏	globo terráqueo mostrando Asia y Australia	Asia|Australia|globo terráqueo mostrando Asia y Australia|mundo|planeta|Tierra
🌐	globo terráqueo con meridianos	globo|globo terráqueo con meridianos|meridianos|mundo|Tierra
🌑	luna nueva	luna|luna nueva|oscuridad
🌒	luna creciente	creciente|cuarto|espacio|luna
🌓	luna en cuarto creciente	creciente|cuarto|espacio|luna|luna en cuarto creciente
🌔	luna gibosa creciente	creciente|gibosa|luna
🌕	luna llena	llena|luna|plenilunio
🌖	luna gibosa menguante	gibosa|luna|menguante
🌗	luna en cuarto menguante	cuarto|luna|luna en cuarto menguante|menguante
🌘	luna menguante	luna|menguante
🌙	luna	creciente|espacio|luna
🌚	luna nueva con cara	cara|espacio|luna|luna nueva con cara
🌛	luna de cuarto creciente con cara	cara|creciente|cuarto|espacio|luna|luna de cuarto creciente con cara
🌜	luna de cuarto menguante con cara	cara|creciente|cuarto|espacio|luna|luna de cuarto menguante con cara
🌝	luna llena con cara	cara|llena|luna|luna llena con cara
🌞	sol con cara	brillante|cara|sol|sol con cara
🌟	estrella brillante	brillante|estrella|resplandeciente
🌠	estrella fugaz	estrella|estrella fugaz|lluvia
🌡️	termómetro	temperatura|termómetro
🌤️	sol detrás de una nube pequeña	nube|sol|sol detrás de una nube pequeña
🌥️	sol detrás de una nube grande	nube|sol|sol detrás de una nube grande
🌦️	sol detrás de una nube con lluvia	lluvia|nube|sol|sol detrás de una nube con lluvia
🌧️	nube con lluvia	lluvia|nube|nube con lluvia
🌨️	nube con nieve	frío|nieve|nube|nube con nieve
🌩️	nube con rayo	nube|nube con rayo|rayo
🌪️	tornado	nube|torbellino|tornado
🌫️	niebla	niebla|nube
🌬️	cara de viento	cara|cara de viento|nube|soplar|viento
🌭	perrito caliente	perrito|perrito caliente|salchicha
🌮	taco	comida|mexicano|taco
🌯	burrito	burrito|comida|mexicano|tex mex|wrap
🌰	castaña	castaña|castaño|fruto seco
🌱	planta joven	planta joven|plantón
🌲	árbol de hoja perenne	árbol|árbol de hoja perenne|hoja perenne|perenne
🌳	árbol de hoja caduca	árbol|árbol de hoja caduca|caducifolio|hoja caduca
🌴	palmera	árbol|árbol de palma|palmera
🌵	cactus	cactus|planta
🌶️	chile picante	chile|picante|planta
🌷	tulipán	flor|tulipán
🌸	flor de cerezo	cerezo|flor|flor de cerezo
🌹	rosa	flor|rosa
🌺	flor de hibisco	flor|flor de hibisco|hibisco
🌻	girasol	flor|girasol|sol
🌼	flor	flor
🌽	espiga de maíz	espiga|espiga de maíz|maíz|mazorca|mijo
🌾	espiga de arroz	arroz|espiga|espiga de arroz|planta
🌿	hierba	hierba|hoja|verde
🍀	trébol de cuatro hojas	suerte|trébol|trébol de cuatro hojas
🍁	hoja de arce	arce|hoja|hoja de arce
🍂	hojas caídas	caída|hojas|hojas caídas
🍃	hojas revoloteando al viento	hoja|hojas revoloteando al viento|revolotear|soplar|viento
🍄	champiñón	champiñón|hongo|seta
🍄‍🟫	champiñón marrón	champiñón marrón|comida|hongo|naturaleza|seta|vegetal
🍅	tomate	ensalada|fruta|tomate|verdura
🍆	berenjena	berenjena|fruto|verdura
🍇	uvas	agracejo|fruta|racimo|uva|uvas
🍈	melón	fruta|melón
🍉	sandía	fruta|sandía
🍊	mandarina	fruta|mandarina|naranja
🍋	limón	cítrico|citrón|fruta|limón
🍋‍🟩	lima	cítrico|fruta|lima|tropical
🍌	plátano	banana|fruta|plátano
🍍	piña	ananás|fruta|piña
🍎	manzana roja	fruta|manzana|poma|roja
🍏	manzana verde	fruta|manzana|poma|verde
🍐	pera	fruta|pera|perilla
🍑	melocotón	durazno|fruta|melocotón
🍒	cerezas	cereza|cerezas|fruta|guindas
🍓	fresa	fresa|fresón|fruta
🍔	hamburguesa	burger|hamburguesa
🍕	pizza	pizza|porción|restaurante
🍖	carne con hueso	carne|carne con hueso|hueso|restaurante
🍗	muslo de pollo	muslo|muslo de pollo|pollo|restaurante
🍘	galleta de arroz	arroz|galleta|galleta de arroz
🍙	bola de arroz	arroz|bola de arroz|japonés|onigiri|restaurante
🍚	arroz cocido	arroz|arroz cocido|restaurante
🍛	arroz con curry	arroz|arroz con curry|curry|restaurante
🍜	tazón de fideos	fideos calientes|fideos chinos|fideos ramen|ramen|tazón de fideos
🍝	espagueti	espagueti|pasta|restaurante
🍞	pan de molde	pan|pan de molde|rebanada|tostada
🍟	patatas fritas	papas fritas|patatas|patatas fritas|restaurante
🍠	patata asada	asada|papa asada|patata|restaurante
🍡	dango	dango|japonés|pincho|postre|restaurante
🍢	brocheta	brocheta|japonés|marisco|oden|pincho
🍣	sushi	restaurante|sushi
🍤	gamba frita	frito|gamba|gamba frita|restaurante
🍥	pastel de pescado japonés	comida japonesa|pastel|pastel de pescado japonés|pescado
🍦	cucurucho de helado	cucurucho|cucurucho de helado|dulce|helado|helado de cucurucho|restaurante
🍧	granizado hawaiano	granizado hawaiano|helado|hielo|postre|raspado
🍨	helado	helado|postre|sorbete
🍩	dónut	berlina|dónut|pastel|rosquilla
🍪	galleta	dulce|galleta|pasta|postre
🍫	tableta de chocolate	barra|chocolate|restaurante|tableta|tableta de chocolate
🍬	caramelo	caramelo|chuche|chuchería|dulce|golosina
🍭	piruleta	chuche|chuchería|dulce|golosina|piruleta
🍮	flan	dulce|flan|postre|pudding
🍯	tarro de miel	dulce|miel|tarro|tarro de miel
🍰	trozo de tarta	pedazo de tarta|restaurante|tarta|trozo de tarta
🍱	caja de bento	bento|caja|caja de bento|comida|restaurante
🍲	olla de comida	comida de olla|olla de comida|puchero|restaurante
🍳	cocinar	cocinar|freír|huevo|sartén
🍴	tenedor y cuchillo	cuchillo|restaurante|tenedor|tenedor y cuchillo
🍵	tazón de té	bebida|taza|tazón de té|té
🍶	sake	bar|bebida|botella|restaurante|sake|tazón
🍷	copa de vino	bar|bebida|copa|copa de vino|vaso|vino
🍸	copa de cóctel	bar|cóctel|copa|copa de cóctel|restaurante
🍹	bebida tropical	bar|bebida|restaurante|tropical
🍺	jarra de cerveza	bar|cerveza|jarra|jarra de cerveza|restaurante
🍻	jarras de cerveza brindando	bar|cerveza|jarra|jarras|jarras de cerveza brindando|restaurante
🍼	biberón	bebé|bibe|biberón|bibi|botella|leche
🍽️	cuchillo y tenedor con un plato	cuchillo|cuchillo y tenedor con un plato|plato|restaurante|tenedor
🍾	botella descorchada	bar|beber|botella|botella descorchada|cava|corcho
🍿	palomitas	maíz|palomitas
🎀	lazo	celebración|lazo
🎁	regalo	celebración|envoltorio|presente|regalo|regalo envuelto
🎂	tarta de cumpleaños	celebración|cumpleaños|tarta|tarta de cumpleaños
🎃	calabaza de Halloween	calabaza|calabaza de Halloween|celebración|Halloween|linterna
🎄	árbol de Navidad	abeto de Navidad|árbol|árbol de Navidad|celebración|Navidad
🎅	Papá Noel	celebración|claus|cuento|fantasía|feliz|fiestas|Navidad|padre|Papá Noel|santa
🎆	fuegos artificiales	celebración|fuegos artificiales
🎇	bengala	bengala|celebración|fuegos artificiales
🎈	globo	celebración|globo
🎉	cañón de confeti	cañón de confeti|celebración|confeti|fiesta
🎊	bola de confeti	bola de confeti|celebración|confeti
🎋	árbol de tanabata	árbol|árbol de tanabata|celebración|festividad|tanabata
🎌	banderas cruzadas	banderas|banderas cruzadas|celebración|japón
🎍	decoración de pino	año nuevo japonés|bambú|celebración|decoración|decoración de pino|kadomatsu
🎎	muñecas japonesas	celebración|festival|hinamatsuri|muñecas|muñecas japonesas
🎏	banderín de carpas	banderín|banderín de carpas|carpa|celebración|koinobori
🎐	campanilla de viento	campanilla|campanilla de viento|furin|viento
🎑	ceremonia de contemplación de la luna	celebración|ceremonia de contemplación de la luna|contemplación|luna|tsukimi
🎒	mochila escolar	colegio|mochila|mochila escolar
🎓	birrete	birrete|celebración|gorro|graduación
🎖️	medalla militar	celebración|medalla|militar
🎗️	lazo conmemorativo	conmemorativo|lazo
🎙️	micrófono de estudio	estudio|micrófono|micrófono de estudio|música
🎚️	control de volumen	control|control de volumen|fader|volumen
🎛️	ruedas de control	control|diales|música|potenciómetros|ruedas|ruedas de control
🎞️	fotograma de película	cine|fotograma|fotograma de película|película
🎟️	entradas	acceso|admisión|entrada|entradas|evento
🎠	caballo de tiovivo	caballo|caballo de tiovivo|entretenimiento|tiovivo
🎡	noria de feria	atracciones|entretenimiento|feria|noria|noria de feria
🎢	montaña rusa	atracciones|entretenimiento|feria|montaña rusa|parque
🎣	caña de pescar	caña|caña de pescar|entretenimiento|esparcimiento|pesca|pez
🎤	micrófono	entretenimiento|karaoke|micro|micrófono
🎥	cámara de cine	cámara|cámara de cine|cine|entretenimiento|película
🎦	cine	cine|entretenimiento|película
🎧	auricular	auricular|cascos
🎨	paleta de pintor	arte|artista|paleta|paleta de pintor|pintura
🎩	sombrero de copa	chistera|copa|ropa|sombrero|sombrero de copa
🎪	carpa de circo	carpa|carpa de circo|circo|entretenimiento
🎫	tique	acceso|admisión|tique
🎬	claqueta	cine|claqueta|claqueta de cine|entretenimiento|película
🎭	máscaras de teatro	actuación|arte|artes escénicas|entretenimiento|máscaras de teatro
🎮	mando de videoconsola	juego|mando|mando de videoconsola|videojuego
🎯	diana	blanco|diana|en el blanco|juego
🎰	máquina tragaperras	juego|máquina|máquina tragaperras
🎱	bola negra de billar	8|billar|bola negra de billar|bola ocho|juego
🎲	dado	dado|juego
🎳	bolos	bola|bola de bolos|bolos|juego
🎴	cartas de flores	carta|cartas de flores|flor|hanafuda|naipe japonés
🎵	nota musical	música|nota|nota musical
🎶	notas musicales	música|notas|notas musicales
🎷	saxofón	instrumento|instrumento musical|música|saxo|saxofón
🎸	guitarra	guitarra|instrumento|instrumento musical|música
🎹	teclado musical	instrumento|instrumento musical|música|piano|teclado|teclado musical
🎺	trompeta	instrumento|instrumento musical|música|trompeta
🎻	violín	instrumento|instrumento musical|música|violín
🎼	pentagrama	música|partitura|pentagrama
🎽	camiseta sin mangas	banda|camiseta con banda|camiseta de correr|camiseta sin mangas|deporte
🎾	pelota de tenis	deporte|pelota|pelota de tenis|tenis
🎿	esquís	esquí|esquíes|esquís|nieve
🏀	balón de baloncesto	balón|balón de baloncesto|canasta|deporte
🏁	bandera de cuadros	bandera|bandera de cuadros|carreras|cuadros|deporte|motor
🏂	practicante de snowboard	nieve|practicante de snowboard|snowboard
🏃	persona corriendo	carrera|deporte|maratón|persona corriendo
🏃‍♀️	mujer corriendo	carrera|correr|maratón|mujer|mujer corriendo
🏃‍♂️	hombre corriendo	carrera|correr|hombre|hombre corriendo|maratón
🏄	persona haciendo surf	persona haciendo surf|surf|surfear
🏄‍♀️	mujer haciendo surf	mujer|mujer haciendo surf|surf|surfera|surfista
🏄‍♂️	hombre haciendo surf	hombre|hombre haciendo surf|surf|surfero|surfista
🏅	medalla deportiva	medalla|medalla deportiva|premio
🏆	trofeo	premio|trofeo
🏇	carrera de caballos	caballo|caballo de carreras|carrera de caballos|carreras|jinete
🏈	balón de fútbol americano	balón|balón de fútbol americano|deporte|fútbol americano
🏉	balón de rugby	balón|balón de rugby|deporte|rugby
🏊	persona nadando	nadar|natación|persona nadando
🏊‍♀️	mujer nadando	mujer|mujer nadando|nadar
🏊‍♂️	hombre nadando	hombre|hombre nadando|nadar
🏋️	persona levantando pesas	halterofilia|levantador|persona levantando pesas|pesas|peso
🏋️‍♀️	mujer levantando pesas	halterofilia|levantadora de pesas|mujer|mujer levantando pesas|pesas
🏋️‍♂️	hombre levantando pesas	halterofilia|hombre|hombre levantando pesas|levantador de pesas|pesas
🏌️	persona jugando al golf	golf|golfista|pelota|persona jugando al golf
🏌️‍♀️	mujer jugando al golf	golf|jugadora|mujer|mujer jugando al golf
🏌️‍♂️	hombre jugando al golf	golf|hombre|hombre jugando al golf|jugador
🏍️	moto	carreras|moto|motocicleta|vehículo
🏎️	coche de carreras	carreras|coche|coche de carreras
🏏	críquet	críquet|juego|pelota
🏐	pelota de voleibol	balón|juego|pelota|pelota de voleibol|voleibol
🏑	hockey sobre hierba	hierba|hockey|hockey sobre hierba|juego|palo|pelota
🏒	hockey sobre hielo	disco|hielo|hockey|hockey sobre hielo|palo
🏓	tenis de mesa	juego|mesa|pelota|ping pong|tenis de mesa
🏔️	montaña con nieve	frío|montaña|montaña con nieve|nieve
🏕️	camping	acampada|campamento|camping|vacaciones
🏖️	playa y sombrilla	playa|playa y sombrilla|sombrilla
🏗️	construcción	construcción|edificio|obra
🏘️	casas	casas|edificio|urbanización
🏙️	paisaje urbano	ciudad|edificio|paisaje|paisaje urbano
